127.0.0.1 - - [09/Nov/2023:01:13:27 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/index.jsp HTTP/1.1" 200 23891
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 200 12807
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 200 36514
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/css/index-styles.css HTTP/1.1" 200 211255
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 200 17068
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 200 27984
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 200 25896
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 200 19240
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:29 +0700] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 200 24330
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:13:30 +0700] "GET /signup/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:10 +0700] "GET /signup/index.jsp HTTP/1.1" 200 23891
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:10 +0700] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:10 +0700] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:10 +0700] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:01:23:11 +0700] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
